PER-LAYER SPECIFICITY (Mahalanobis on pooled hidden states, 250 scenes, disjoint seeds)
Q: at each depth, does the drift signal the BACKDOOR, or merely a NEW OBJECT?

layer   poison   ketchup    milk      gap
------------------------------------------
    0    0.580     0.680   0.720   -0.140
    1    0.598     0.680   0.720   -0.122
    2    0.561     0.680   0.680   -0.119
    3    0.662     0.681   0.718   -0.056
    4    0.678     0.670   0.707   -0.029
    5    0.790     0.679   0.693   +0.097
    6    0.760     0.640   0.682   +0.078
    7    0.733     0.617   0.662   +0.071
    8    0.738     0.719   0.663   +0.018
    9    0.739     0.693   0.634   +0.046
   10    0.696     0.673   0.612   +0.024
   11    0.662     0.591   0.578   +0.070
   12    0.669     0.540   0.567   +0.102
   13    0.714     0.512   0.568   +0.146
   14    0.760     0.557   0.566   +0.194
   15    0.762     0.564   0.565   +0.198
   16    0.946     0.594   0.540   +0.352
   17    0.969     0.602   0.549   +0.366
   18    0.976     0.602   0.551   +0.374
   19    0.991     0.589   0.556   +0.402
   20    0.989     0.589   0.545   +0.400
   21    0.977     0.588   0.536   +0.390
   22    0.983     0.585   0.539   +0.398
   23    0.998     0.569   0.575   +0.423
   24    0.999     0.566   0.576   +0.424
   25    1.000     0.566   0.582   +0.418
   26    1.000     0.554   0.588   +0.412
   27    1.000     0.509   0.570   +0.430
   28    1.000     0.505   0.575   +0.425
   29    1.000     0.502   0.581   +0.419
   30    1.000     0.531   0.677   +0.323
   31    1.000     0.536   0.681   +0.319
   32    1.000     0.516   0.650   +0.350

best  gap: layer 27  +0.430
worst gap: layer 0  -0.140
early (0-5)   mean gap: -0.062   <- fires MORE on benign objects
deep  (27-32) mean gap: +0.378   <- backdoor-specific

all-layer pooled detector gap was +0.137; layer 27 alone is +0.430 (3.1x better)
