samples: 200  (poison=100, clean=100)  layers: 32

 layer  raw AUROC  direction  directed AUROC    clean mean  poison mean
------------------------------------------------------------------------
     0     0.8643         up          0.8643        0.0042       0.0045
     1     0.9912         up          0.9912        0.0077       0.0091
     2     0.1593       down          0.8407        0.0641       0.0590
     3     0.1064       down          0.8936        0.0835       0.0760
     4     0.0500       down          0.9500        0.0872       0.0775
     5     0.3411       down          0.6589        0.1087       0.1050
     6     0.3737       down          0.6263        0.0623       0.0594
     7     0.6406         up          0.6406        0.0650       0.0672
     8     0.4268       down          0.5732        0.0772       0.0728
     9     0.3120       down          0.6880        0.0791       0.0721
    10     0.1087       down          0.8913        0.0837       0.0644
    11     0.2535       down          0.7465        0.0798       0.0723
    12     0.5271         up          0.5271        0.0744       0.0756
    13     0.4928       down          0.5072        0.0632       0.0633
    14     0.4640       down          0.5360        0.0769       0.0743
    15     0.6516         up          0.6516        0.0563       0.0594
    16     0.4994       down          0.5006        0.0591       0.0588
    17     0.4986       down          0.5014        0.0653       0.0652
    18     0.7470         up          0.7470        0.0769       0.0840
    19     0.8842         up          0.8842        0.0844       0.0994
    20     0.4898       down          0.5102        0.0917       0.0917
    21     0.6255         up          0.6255        0.0904       0.0945
    22     0.5524         up          0.5524        0.0884       0.0903
    23     0.6040         up          0.6040        0.0834       0.0866
    24     0.6204         up          0.6204        0.0992       0.1044
    25     0.7003         up          0.7003        0.0820       0.0881
    26     0.3693       down          0.6307        0.0845       0.0799
    27     0.0913       down          0.9087        0.1130       0.0858
    28     0.8263         up          0.8263        0.0738       0.0826
    29     0.1958       down          0.8042        0.1161       0.1037
    30     0.2329       down          0.7671        0.0953       0.0875
    31     0.0203       down          0.9797        0.0779       0.0564
