samples: 100  (poison=50, clean=50)  layers: 32

 layer  raw AUROC  direction  directed AUROC    clean mean  poison mean
------------------------------------------------------------------------
     0     0.9636         up          0.9636        0.0041       0.0046
     1     0.9548         up          0.9548        0.0078       0.0089
     2     0.1976       down          0.8024        0.0633       0.0588
     3     0.1528       down          0.8472        0.0824       0.0760
     4     0.0688       down          0.9312        0.0866       0.0768
     5     0.3372       down          0.6628        0.1076       0.1050
     6     0.3332       down          0.6668        0.0630       0.0586
     7     0.7592         up          0.7592        0.0647       0.0693
     8     0.3180       down          0.6820        0.0801       0.0716
     9     0.3832       down          0.6168        0.0770       0.0732
    10     0.1804       down          0.8196        0.0817       0.0661
    11     0.3320       down          0.6680        0.0796       0.0742
    12     0.5564         up          0.5564        0.0739       0.0762
    13     0.5492         up          0.5492        0.0632       0.0641
    14     0.5104         up          0.5104        0.0781       0.0771
    15     0.6416         up          0.6416        0.0572       0.0594
    16     0.5852         up          0.5852        0.0596       0.0616
    17     0.2828       down          0.7172        0.0691       0.0627
    18     0.6492         up          0.6492        0.0793       0.0825
    19     0.9368         up          0.9368        0.0825       0.1014
    20     0.6204         up          0.6204        0.0905       0.0958
    21     0.7144         up          0.7144        0.0895       0.0973
    22     0.6504         up          0.6504        0.0882       0.0933
    23     0.6640         up          0.6640        0.0838       0.0879
    24     0.5348         up          0.5348        0.1019       0.1046
    25     0.6740         up          0.6740        0.0831       0.0883
    26     0.3180       down          0.6820        0.0858       0.0793
    27     0.0784       down          0.9216        0.1120       0.0845
    28     0.7956         up          0.7956        0.0742       0.0821
    29     0.0848       down          0.9152        0.1206       0.1017
    30     0.2608       down          0.7392        0.0938       0.0875
    31     0.0224       down          0.9776        0.0785       0.0562
