layer  text_Δent  text_Δfn  act_Δent  act_Δfn
    0    -0.019  +0.0000    +0.001  +0.0000
    1    +0.070  +0.0005    +0.255  -0.0070
    2    +0.427  -0.0230    +0.646  -0.0200
    3    +0.866  -0.0583    +0.906  -0.0339
    4    +1.088  -0.0695    +1.002  -0.0526
    5    +1.206  -0.1043    +1.071  -0.0533
    6    +1.004  -0.0491    +0.818  -0.0214
    7    +1.358  -0.0832    +1.233  -0.0404
    8    +1.178  -0.0716    +1.209  -0.0214
    9    +1.371  -0.0559    +1.670  -0.0391
   10    +1.740  -0.0774    +2.076  -0.0511
   11    +1.365  -0.0708    +1.313  -0.0253
   12    +1.775  -0.0861    +2.171  -0.0305
   13    +1.955  -0.0802    +1.586  -0.0163
   14    +2.592  -0.1003    +2.592  -0.0289
   15    +1.655  -0.0514    +1.501  -0.0136
   16    +2.137  -0.0996    +2.430  -0.0317
   17    +1.819  -0.0745    +1.726  -0.0244
   18    +2.058  -0.0786    +2.608  -0.0453
   19    +3.008  -0.2056    +3.720  -0.0890
   20    +2.095  -0.0718    +1.653  -0.0196
   21    +2.171  -0.1121    +2.014  -0.0273
   22    +1.982  -0.0684    +2.569  -0.0833
   23    +2.048  -0.0811    +2.163  -0.0314
   24    +1.885  -0.0871    +1.896  -0.0420
   25    +2.207  -0.1227    +2.297  -0.0572
   26    +1.619  -0.0970    +1.524  -0.0520
   27    +1.618  -0.0599    +1.782  -0.0292
   28    +1.673  -0.0652    +2.063  -0.0625
   29    +2.028  -0.0856    +2.442  -0.0871
   30    +1.431  -0.0626    +1.358  -0.0480
   31    +0.715  -0.0489    +1.283  -0.0790

Top |Δent| TEXT: L19(+3.008), L14(+2.592), L25(+2.207), L21(+2.171), L16(+2.137)
Top |Δent| ACTION: L19(+3.720), L18(+2.608), L14(+2.592), L22(+2.569), L29(+2.442)
