BadVLA per-head deltas


=== TEXT→img ===
h31 Δent=+2.486 mass_c=3.719 mass_p=45.201
h30 Δent=+2.314 mass_c=7.110 mass_p=113.350
h13 Δent=+2.309 mass_c=3.640 mass_p=79.090
h25 Δent=+2.296 mass_c=3.630 mass_p=126.530
h02 Δent=+2.227 mass_c=4.620 mass_p=61.827
h27 Δent=+2.138 mass_c=2.866 mass_p=47.753
h29 Δent=+2.054 mass_c=22.268 mass_p=119.983
h00 Δent=+1.983 mass_c=2.328 mass_p=245.225
h03 Δent=+1.983 mass_c=3.274 mass_p=77.895
h16 Δent=+1.982 mass_c=4.304 mass_p=99.135
h08 Δent=+1.878 mass_c=5.142 mass_p=38.278
h14 Δent=+1.800 mass_c=10.651 mass_p=136.122
h24 Δent=+1.768 mass_c=337.201 mass_p=877.216
h26 Δent=+1.613 mass_c=3.830 mass_p=86.128
h21 Δent=+1.515 mass_c=11.499 mass_p=55.178
h06 Δent=+1.455 mass_c=20.862 mass_p=79.892
h09 Δent=+1.455 mass_c=21.139 mass_p=77.056
h23 Δent=+1.235 mass_c=8.141 mass_p=130.450
h17 Δent=+1.208 mass_c=2.662 mass_p=109.538
h07 Δent=+1.187 mass_c=9.755 mass_p=112.944
h01 Δent=+1.185 mass_c=10.768 mass_p=56.987
h19 Δent=+1.162 mass_c=30.342 mass_p=105.458
h04 Δent=+1.108 mass_c=31.273 mass_p=151.773
h18 Δent=+1.048 mass_c=77.644 mass_p=104.326
h28 Δent=+1.029 mass_c=3.847 mass_p=108.630
h22 Δent=+0.856 mass_c=9.437 mass_p=18.474
h05 Δent=+0.832 mass_c=14.696 mass_p=65.328
h12 Δent=+0.803 mass_c=510.084 mass_p=136.644
h10 Δent=+0.733 mass_c=33.979 mass_p=148.847
h20 Δent=+0.364 mass_c=32.388 mass_p=35.389
h15 Δent=+0.344 mass_c=48.614 mass_p=154.968
h11 Δent=+0.239 mass_c=62.153 mass_p=184.910

=== ACTION→img ===
h30 Δent=+3.001 mass_c=0.124 mass_p=40.730
h02 Δent=+2.932 mass_c=0.038 mass_p=23.347
h31 Δent=+2.846 mass_c=0.005 mass_p=11.339
h13 Δent=+2.824 mass_c=0.002 mass_p=26.679
h24 Δent=+2.574 mass_c=149.850 mass_p=316.050
h06 Δent=+2.529 mass_c=3.223 mass_p=28.359
h25 Δent=+2.487 mass_c=0.000 mass_p=48.257
h21 Δent=+2.481 mass_c=0.869 mass_p=16.429
h14 Δent=+2.454 mass_c=2.159 mass_p=52.420
h29 Δent=+2.435 mass_c=1.481 mass_p=43.332
h08 Δent=+2.419 mass_c=0.050 mass_p=12.491
h27 Δent=+2.366 mass_c=0.003 mass_p=14.541
h03 Δent=+2.348 mass_c=0.004 mass_p=23.525
h00 Δent=+2.336 mass_c=0.002 mass_p=81.813
h16 Δent=+2.266 mass_c=0.009 mass_p=41.660
h26 Δent=+2.121 mass_c=0.001 mass_p=26.822
h28 Δent=+2.097 mass_c=0.000 mass_p=44.073
h09 Δent=+1.885 mass_c=6.075 mass_p=28.973
h12 Δent=+1.677 mass_c=232.966 mass_p=55.498
h01 Δent=+1.601 mass_c=0.102 mass_p=23.287
h07 Δent=+1.598 mass_c=0.117 mass_p=37.450
h23 Δent=+1.575 mass_c=0.140 mass_p=47.002
h17 Δent=+1.510 mass_c=0.000 mass_p=44.119
h22 Δent=+1.460 mass_c=0.128 mass_p=4.800
h05 Δent=+1.371 mass_c=0.118 mass_p=20.011
h19 Δent=+1.292 mass_c=3.352 mass_p=43.918
h10 Δent=+1.219 mass_c=4.713 mass_p=50.186
h04 Δent=+1.191 mass_c=12.237 mass_p=62.592
h18 Δent=+1.135 mass_c=32.473 mass_p=39.018
h20 Δent=+0.924 mass_c=3.460 mass_p=9.393
h15 Δent=+0.342 mass_c=12.375 mass_p=58.237
h11 Δent=+0.297 mass_c=18.281 mass_p=75.367
