layer  text_Δent  text_Δfn  act_Δent  act_Δfn  text_ent_c  text_ent_p  act_ent_c  act_ent_p
    0    -0.041  +0.0006    -0.038  -0.0004      5.461      5.420     5.464     5.426
    1    -0.059  +0.0018    -0.063  +0.0015      5.389      5.330     5.395     5.332
    2    -0.174  +0.0082    -0.205  +0.0061      4.884      4.710     4.983     4.778
    3    -0.025  -0.0361    -0.241  +0.0084      4.409      4.384     4.814     4.573
    4    -0.541  +0.0056    -0.544  +0.0048      4.570      4.029     4.597     4.053
    5    -0.251  +0.0119    -0.543  +0.0226      4.343      4.092     4.428     3.884
    6    +0.001  -0.0058    -0.133  +0.0027      4.264      4.265     4.309     4.175
    7    -0.079  +0.0119    -0.233  +0.0118      4.143      4.064     4.294     4.061
    8    -0.118  -0.0019    -0.123  -0.0093      4.364      4.247     4.389     4.266
    9    -0.277  -0.0065    -0.289  +0.0032      4.443      4.167     4.497     4.208
   10    -0.105  -0.0148    +0.019  -0.0105      4.154      4.049     4.236     4.255
   11    +0.023  +0.0027    -0.060  +0.0041      4.232      4.255     4.419     4.358
   12    -0.178  +0.0140    -0.152  +0.0093      4.262      4.084     4.420     4.268
   13    -0.370  +0.0111    -0.397  +0.0189      4.335      3.964     4.387     3.990
   14    +0.009  +0.0069    +0.004  +0.0113      4.169      4.178     4.241     4.245
   15    -0.396  -0.0010    -0.241  +0.0184      4.182      3.786     4.193     3.952
   16    -0.269  +0.0081    -0.370  +0.0071      4.165      3.896     4.141     3.771
   17    -0.259  -0.0190    -0.650  -0.0090      3.998      3.738     4.112     3.462
   18    -0.381  -0.0112    -0.527  +0.0091      3.881      3.500     3.899     3.372
   19    -0.520  +0.0295    -0.502  -0.0035      3.675      3.155     3.547     3.045
   20    -0.368  +0.0278    -0.398  +0.0113      3.530      3.162     3.627     3.229
   21    -0.494  +0.0177    -0.461  -0.0048      3.680      3.186     3.588     3.127
   22    -0.352  +0.0067    -0.472  +0.0006      3.715      3.362     3.776     3.303
   23    -0.243  -0.0083    -0.475  +0.0208      3.626      3.383     3.784     3.309
   24    -0.551  +0.0258    -0.717  +0.0050      3.552      3.001     3.650     2.932
   25    -0.144  -0.0058    -0.701  +0.0043      3.606      3.462     3.631     2.930
   26    +0.132  -0.0176    -0.087  -0.0047      3.608      3.740     4.054     3.967
   27    -0.082  -0.0288    -0.478  +0.0336      3.653      3.570     3.873     3.395
   28    -0.063  -0.0064    -0.216  -0.0082      3.670      3.607     3.771     3.554
   29    +0.409  -0.0396    +0.063  -0.0421      3.215      3.624     3.395     3.458
   30    +0.467  -0.0522    +0.111  -0.0103      3.493      3.960     3.791     3.902
   31    +0.305  -0.0347    +0.040  -0.0034      4.240      4.546     4.498     4.539

Top |Δentropy| TEXT layers: L24(-0.551), L4(-0.541), L19(-0.520), L21(-0.494), L30(+0.467)
Top |Δentropy| ACTION layers: L24(-0.717), L25(-0.701), L17(-0.650), L4(-0.544), L5(-0.543)
