Per-head clean vs bd+trig deltas (last layer, value-weighted)


=== TEXT→img ===
head     Δent   Δfnorm     mass_c     mass_p
   8    1.410  -0.1368     36.032     27.227
  21    1.209  -0.2222     37.687     16.650
  10    1.187  -0.1705     75.483     68.654
  18    0.941  -0.1201     58.525     47.735
  25    0.870   0.0375      9.874      9.677
   3    0.860  -0.0325     10.632     10.030
  15    0.856  -0.0614    127.012    125.330
  17    0.774  -0.1032     51.713     67.401
   4   -0.743   0.0098     32.733     51.001
  12    0.723  -0.0509     93.389    145.261
   9    0.635  -0.0981     25.703     28.183
   2    0.622  -0.0224     11.198     12.275
  31    0.602  -0.1092      8.422     13.748
  28    0.566  -0.0571     30.953     42.783
   6    0.453  -0.0949     94.871     46.124
  13    0.391  -0.0522     15.956      7.715
   5   -0.373   0.0112     37.749     27.550
  30   -0.349   0.0246     43.110     26.473
  26    0.328  -0.0246     10.131     13.601
  29   -0.326   0.0043     22.003     36.504
  24    0.302  -0.0344     84.940    104.017
  19    0.295  -0.0548     30.479     39.584
  16    0.274  -0.0866     13.015      7.824
  22    0.261  -0.0531     44.138     29.505
   7   -0.213  -0.0017     28.619     21.125
   1    0.207  -0.0499     57.952     42.213
  20   -0.181   0.0109     51.206     44.523
  14    0.169  -0.0463     12.196     12.161
   0    0.158  -0.0323      8.941      9.451
  23    0.052  -0.0109     20.985     15.873
  11   -0.043  -0.0403     45.360     43.848
  27    0.024  -0.0062      8.079      7.706

=== ACTION→img ===
head     Δent   Δfnorm     mass_c     mass_p
  13    1.177  -0.0700      0.245      0.202
   4   -0.838   0.0139      1.912      7.185
   8    0.752  -0.0934      3.871      1.598
   2   -0.612   0.0190      0.061      0.221
  30   -0.600   0.0800      2.497      2.290
  17    0.502  -0.1199      5.597      5.774
   3    0.494  -0.0465      0.229      0.489
  16    0.471   0.0138      1.287      0.319
  18    0.461   0.0205      3.353      5.728
   9    0.399  -0.0713      3.053      2.773
  10    0.356  -0.0490     15.739     12.848
  25    0.354  -0.0150      0.010      0.001
  31    0.326   0.0206      0.229      1.857
  21    0.310  -0.0438      1.305      0.250
  20   -0.254   0.0047     12.427      8.503
  11   -0.236   0.0146      8.993      7.783
  22    0.231  -0.0510      6.532      1.045
   5   -0.227   0.0092      6.988      6.043
  26   -0.206   0.0387      0.190      0.545
  14    0.204  -0.0496      0.656      1.225
   7   -0.195   0.0179      2.882      1.424
  19   -0.146   0.0621      8.908      2.969
   6    0.136  -0.0362      8.122      7.974
   1   -0.123   0.0168      5.134      6.489
  12   -0.113   0.0314     28.372     31.950
  29    0.082   0.0090      0.947      6.116
  23    0.057   0.0015      2.462      0.830
  24    0.037  -0.0159     25.363     14.649
  15    0.019   0.0141     36.202     34.795
  27    0.011   0.0223      0.034      0.027
  28    0.010  -0.0076      9.569      8.901
   0   -0.001   0.0123      0.431      1.588
